Date,Trees,Diff
2019-11-12,14974.276,21777
2019-11-12,14975.599,1323
2019-11-12,14977.798,2199
2019-11-12,14978.487,689
2019-11-12,14979.691,1204
2019-11-12,14980.755,1064
2019-11-12,15012.142,31387
2019-11-12,15013.574,1432
2019-11-12,15014.915,1341
2019-11-12,15017.742,2827
2019-11-12,15019.135,1393
2019-11-12,15067.975,48840
2019-11-12,15068.806,831
2019-11-12,15070.111,1305
2019-11-13,15097.238,27127
2019-11-13,15098.41,1172
2019-11-13,15099.286,876
2019-11-13,15100.801,1515
2019-11-13,15101.922,1121
2019-11-13,15103.087,1165
2019-11-13,15103.763,676
2019-11-13,15106.96,3197
2019-11-13,15107.957,997
2019-11-13,15108.838,881
2019-11-13,15110.015,1177
2019-11-13,15111.348,1333
2019-11-13,15116.515,5167
2019-11-13,15117.339,824
2019-11-13,15117.672,333
2019-11-13,15118.108,436
2019-11-13,15118.957,849
2019-11-13,15119.361,404
2019-11-13,15119.672,311
2019-11-13,15120.313,641
2019-11-13,15120.801,488
2019-11-13,15122.326,1525
2019-11-13,15122.74,414
2019-11-13,15123.127,387
2019-11-13,15123.719,592
2019-11-13,15124.142,423
2019-11-13,15124.48,338
2019-11-13,15125.042,562
2019-11-13,15125.814,772
2019-11-13,15126.775,961
2019-11-13,15129.78,3005
2019-11-13,15131.484,1704
2019-11-13,15132.19,706
2019-11-13,15132.858,668
2019-11-13,15136.032,3174
2019-11-13,15136.639,607
2019-11-13,15138.543,1904
2019-11-13,15140.339,1796
2019-11-13,15141.211,872
2019-11-13,15142.288,1077
2019-11-13,15144.222,1934
2019-11-13,15145.172,950
2019-11-13,15149.34,4168
2019-11-13,15179.554,30214
2019-11-13,15180.942,1388
2019-11-13,15187.046,6104
2019-11-13,15188.197,1151
2019-11-13,15189.089,892
2019-11-14,15189.819,730
2019-11-14,15190.895,1076
2019-11-14,15192.871,1976
2019-11-14,15194.095,1224
2019-11-14,15195.134,1039
2019-11-14,15196.503,1369
2019-11-14,15197.485,982
2019-11-14,15198.5,1015
2019-11-14,15199.484,984
2019-11-14,15200.187,703
2019-11-14,15209.561,9374
2019-11-14,15210.284,723
2019-11-14,15210.812,528
2019-11-14,15211.083,271
2019-11-14,15211.636,553
2019-11-14,15212.077,441
2019-11-14,15212.555,478
2019-11-14,15213.021,466
2019-11-14,15213.532,511
2019-11-14,15213.965,433
2019-11-14,15235.127,21162
2019-11-14,15235.778,651
2019-11-14,15236.482,704
2019-11-14,15236.877,395
2019-11-14,15237.465,588
2019-11-14,15237.709,244
2019-11-14,15238.392,683
2019-11-14,15243.142,4750
2019-11-14,15243.88,738
2019-11-14,15245.197,1317
2019-11-14,15245.913,716
2019-11-14,15246.591,678
2019-11-14,15249.149,2558
2019-11-14,15255.745,6596
